FBgn0036214	CG7264
FBgn0014931	CG2678
FBgn0014930	CG2846
FBgn0032868	CG17472
FBgn0264483	CR43891
FBgn0027562	CG10345
FBgn0027563	CG9631
FBgn0027560	CG4104
FBgn0027561	CG18659
FBgn0027567	CG8108
FBgn0027564	CG3149
FBgn0027565	CG5498
FBgn0027568	CG5366
FBgn0027569	CG7207
FBgn0266044	CR44809
FBgn0266045	CR44810
FBgn0266046	CR44811
FBgn0266047	CG44812
FBgn0266040	CR44805
FBgn0010438	CG4337
FBgn0266042	CR44807
FBgn0266043	CR44808
FBgn0266048	CR44813
FBgn0266049	CR44814
FBgn0267463	CR45813
FBgn0037356	CG12170
FBgn0262057	CG6680
FBgn0030645	CG6308
FBgn0040354	CG14418
FBgn0085218	CG34189
FBgn0085219	CG34190
FBgn0010435	CG2727
FBgn0259482	CG4946
FBgn0033579	CG13229
FBgn0085210	CG34181
FBgn0085211	CG34182
FBgn0085212	CG34183
FBgn0085213	CG34184
FBgn0085214	CG34185
FBgn0040353	CG14417
FBgn0262899	CG43254
FBgn0033434	CG1902
FBgn0036117	CG6321
FBgn0266102	CR44839
FBgn0036111	CG6391
FBgn0036110	CG18348
FBgn0036112	CG14147
FBgn0036816	CG3979
FBgn0033439	CG1773
FBgn0033438	CG1794
FBgn0032082	CG18088
FBgn0040752	CG30483
FBgn0015553	CG10387
FBgn0015550	CG7659
FBgn0029174	CG4535
FBgn0040754	CG17059
FBgn0040755	CG17580
FBgn0039294	CG13664
FBgn0015558	CG1693
FBgn0040759	CG13177
FBgn0010043	CG4371
FBgn0267445	CR45795
FBgn0038247	CG3389
FBgn0036090	CG8009
FBgn0038244	CG7987
FBgn0038243	CG8066
FBgn0038242	CG14852
FBgn0038241	CG8087
FBgn0038240	CG14851
FBgn0051233	CG31233
FBgn0029170	CG5812
FBgn0038248	CG7886
FBgn0033573	CG12944
FBgn0032864	CG2493
FBgn0036094	CG14153
FBgn0036373	CG10741
FBgn0036372	CG10083
FBgn0036374	CG17689
FBgn0036377	CG10710
FBgn0036376	CG10743
FBgn0265703	CR44510
FBgn0267319	CR45755
FBgn0267318	CR45754
FBgn0051909	CG31909
FBgn0051908	CG31908
FBgn0267313	CR45749
FBgn0051729	CG31729
FBgn0267311	CR45747
FBgn0267310	CR45746
FBgn0267317	CR45753
FBgn0267316	CR45752
FBgn0267315	CR45751
FBgn0267314	CR45750
FBgn0266939	CR45390
FBgn0262327	CR43034
FBgn0005614	CG18345
FBgn0052847	CG32847
FBgn0005617	CG10385
FBgn0005612	CG3090
FBgn0025809	CG8962
FBgn0027338	CG9423
FBgn0005619	CG3454
FBgn0039419	CG12290
FBgn0266041	CR44806
FBgn0267270	CR45706
FBgn0262351	CG43049
FBgn0262352	CG43050
FBgn0262353	CR43051
FBgn0267274	CR45710
FBgn0262355	CR43053
FBgn0267276	CR45712
FBgn0267277	CR45713
FBgn0267278	CR45714
FBgn0262359	CG43057
FBgn0265812	CR44601
FBgn0265813	CR44602
